order_id,customer_id,order_date,order_channel,order_status,gross_amount,discount_amount,net_amount,payment_method,coupon_code
ORD_000051,CUST_01361,2025-11-16,Web,Delivered,341.86,46.1,295.76,Wallet,
ORD_000052,CUST_01432,2025-11-20,App,Delivered,234.99,15.59,219.4,Wallet,NEW10
ORD_000053,CUST_01311,2025-10-13,Web,Delivered,1244.99,0.0,1244.99,Wallet,FESTIVE
ORD_000054,CUST_01012,2025-11-09,Call Center,Delivered,410.15,0.0,410.15,Apple Pay,
ORD_000055,CUST_00772,2025-10-26,App,Delivered,1562.65,0.0,1562.65,COD,
ORD_000056,CUST_01163,2025-12-19,App,Delivered,1441.93,0.0,1441.93,Card,NEW10
ORD_000057,CUST_01457,2025-12-04,Call Center,In Transit,777.66,0.0,777.66,Card,FESTIVE
ORD_000058,CUST_01935,2025-11-16,App,Delivered,98.33,0.0,98.33,Apple Pay,FESTIVE
ORD_000059,CUST_01639,2025-12-12,App,Delivered,1014.52,0.0,1014.52,Apple Pay,NEW10
ORD_000060,CUST_01163,2025-12-05,App,In Transit,510.82,134.5,376.32,COD,
ORD_000061,CUST_00313,2025-11-20,Web,Cancelled,1818.77,0.0,1818.77,Card,FESTIVE
ORD_000062,CUST_00373,2025-10-28,App,Delivered,659.82,97.29,562.53,Wallet,
ORD_000063,CUST_01008,2025-12-28,Web,Cancelled,1956.25,156.94,1799.31,Apple Pay,FESTIVE
ORD_000064,CUST_01351,2025-12-27,App,Returned,208.83,0.0,208.83,COD,SALE20
ORD_000065,CUST_01083,2025-12-18,Web,Delivered,1194.2,0.0,1194.2,Wallet,NEW10
ORD_000066,CUST_00469,2025-12-24,App,Returned,527.88,44.89,482.98,Apple Pay,NEW10
ORD_000067,CUST_00604,2025-11-08,App,In Transit,1821.4,0.0,1821.4,Apple Pay,
ORD_000068,CUST_01965,2025-11-11,Call Center,Delivered,1892.33,0.0,1892.33,Card,NEW10
ORD_000069,CUST_00860,2025-12-08,App,Returned,993.05,0.0,993.05,COD,SALE20
ORD_000070,CUST_01860,2025-11-27,Web,Delivered,1629.82,0.0,1629.82,COD,
ORD_000071,CUST_00024,2025-11-15,App,Cancelled,91.14,5.05,86.1,COD,
ORD_000072,CUST_01068,2025-10-29,Web,Returned,1516.37,193.13,1323.24,Wallet,SALE20
ORD_000073,CUST_00949,2025-11-15,Call Center,Cancelled,1868.61,0.0,1868.61,Card,
ORD_000074,CUST_01822,2026-01-03,Call Center,Delivered,125.59,0.0,125.59,COD,
ORD_000075,CUST_01746,2025-11-24,App,Delivered,1739.54,0.0,1739.54,Card,
ORD_000076,CUST_01110,2025-10-16,Web,Delivered,1887.48,508.24,1379.24,Card,
ORD_000077,CUST_01742,2025-11-25,Web,Delivered,1445.85,0.0,1445.85,Apple Pay,
ORD_000078,CUST_00633,2025-10-14,Web,Delivered,1472.58,206.18,1266.4,Card,
ORD_000079,CUST_00310,2025-11-03,Web,In Transit,1220.47,0.0,1220.47,COD,NEW10
ORD_000080,CUST_01047,2025-10-12,Web,Delivered,841.83,0.0,841.83,Card,SALE20
ORD_000081,CUST_01237,2025-10-14,Web,Delivered,503.56,0.0,503.56,Card,
ORD_000082,CUST_00036,2025-12-23,App,Delivered,291.28,44.65,246.63,COD,NEW10
ORD_000083,CUST_01066,2025-10-30,App,Delivered,972.53,156.76,815.77,Card,
ORD_000084,CUST_00532,2025-10-21,App,Delivered,874.56,0.0,874.56,Wallet,NEW10
ORD_000085,CUST_00256,2025-12-10,App,Delivered,1163.49,0.0,1163.49,Card,FESTIVE
ORD_000086,CUST_01862,2025-12-06,App,Cancelled,1404.75,182.09,1222.66,Card,
ORD_000087,CUST_01869,2025-12-28,App,Returned,947.91,0.0,947.91,Apple Pay,FESTIVE
ORD_000088,CUST_00672,2025-11-21,App,Delivered,513.71,61.98,451.73,Card,
ORD_000089,CUST_01513,2025-12-16,App,Delivered,1055.25,0.0,1055.25,Card,SALE20
ORD_000090,CUST_01616,2025-10-25,Web,Delivered,1590.53,353.21,1237.31,Card,
ORD_000091,CUST_00751,2025-10-21,App,Delivered,1933.87,486.31,1447.56,COD,
ORD_000092,CUST_01040,2025-10-21,Call Center,In Transit,1775.6,0.0,1775.6,Wallet,
ORD_000093,CUST_01003,2025-10-17,Web,Delivered,406.58,0.0,406.58,Apple Pay,
ORD_000094,CUST_01716,2025-11-26,Web,In Transit,1765.33,0.0,1765.33,Apple Pay,
ORD_000095,CUST_00310,2025-10-29,App,Cancelled,1120.47,109.35,1011.12,Wallet,
ORD_000096,CUST_01666,2025-10-07,App,Delivered,1709.21,353.49,1355.72,Wallet,
ORD_000097,CUST_00735,2025-10-18,App,Delivered,220.85,0.0,220.85,Wallet,
ORD_000098,CUST_00891,2025-12-28,App,Delivered,78.22,0.0,78.22,Apple Pay,
ORD_000099,CUST_01014,2025-10-09,App,Delivered,768.12,94.16,673.96,COD,
ORD_000100,CUST_00678,2025-12-08,Call Center,Delivered,1415.19,404.92,1010.26,Card,SALE20
ORD_000101,CUST_00391,2025-10-24,App,Delivered,110.57,0.0,110.57,Card,FESTIVE
ORD_000102,CUST_00045,2025-11-09,App,Delivered,798.13,54.36,743.78,Apple Pay,
ORD_000103,CUST_00874,2025-11-18,App,Cancelled,576.84,106.93,469.91,Apple Pay,NEW10
ORD_000104,CUST_01628,2025-11-20,App,Delivered,1815.97,0.0,1815.97,Wallet,
ORD_000105,CUST_01354,2025-11-08,App,Cancelled,637.73,0.0,637.73,Wallet,
ORD_000106,CUST_01150,2025-11-13,App,Delivered,1045.53,236.5,809.03,Apple Pay,
ORD_000107,CUST_00673,2025-11-10,Call Center,Delivered,1527.75,377.43,1150.32,Wallet,
ORD_000108,CUST_00138,2025-10-11,App,Cancelled,1226.41,0.0,1226.41,Wallet,
ORD_000109,CUST_01177,2026-01-02,App,In Transit,365.57,102.38,263.19,Wallet,FESTIVE
ORD_000110,CUST_00809,2025-10-13,App,Delivered,472.49,0.0,472.49,COD,
ORD_000111,CUST_01608,2025-11-03,Web,Delivered,923.09,175.75,747.34,Card,
ORD_000112,CUST_00668,2025-11-06,App,Delivered,283.77,37.25,246.52,Card,
ORD_000113,CUST_01005,2025-12-03,Web,Returned,478.17,76.73,401.45,Apple Pay,
ORD_000114,CUST_00391,2025-11-14,Web,Delivered,526.96,51.68,475.28,COD,SALE20
ORD_000115,CUST_01145,2025-12-16,Web,Delivered,598.31,177.86,420.45,COD,NEW10
ORD_000116,CUST_01436,2025-11-11,App,Delivered,660.67,0.0,660.67,Wallet,NEW10
ORD_000117,CUST_00912,2025-11-16,Web,Cancelled,697.45,71.74,625.71,COD,SALE20
ORD_000118,CUST_01649,2025-11-24,Web,Delivered,1409.59,203.63,1205.96,COD,
ORD_000119,CUST_01465,2025-11-06,Web,Delivered,1371.37,118.79,1252.58,Card,
ORD_000120,CUST_00621,2025-10-18,Call Center,Delivered,316.5,45.81,270.69,Card,
ORD_000121,CUST_00913,2025-11-02,App,Delivered,121.85,0.0,121.85,Apple Pay,
ORD_000122,CUST_01498,2026-01-04,Web,Delivered,1308.07,0.0,1308.07,Card,FESTIVE
ORD_000123,CUST_01764,2025-12-30,Web,Returned,1798.35,0.0,1798.35,Card,SALE20
ORD_000124,CUST_01414,2025-11-18,Web,Delivered,162.26,17.68,144.58,Wallet,
ORD_000125,CUST_01452,2025-11-21,App,Delivered,1832.31,144.23,1688.08,Apple Pay,
ORD_000126,CUST_00323,2025-11-28,App,Delivered,829.27,69.99,759.28,Card,NEW10
ORD_000127,CUST_00242,2025-10-30,Web,Returned,268.29,0.0,268.29,COD,
ORD_000128,CUST_01913,2025-11-27,Call Center,Delivered,1937.18,0.0,1937.18,COD,
ORD_000129,CUST_01610,2025-11-05,App,Delivered,52.95,0.0,52.95,Card,
ORD_000130,CUST_01276,2025-10-23,Web,Delivered,1910.98,189.83,1721.15,Apple Pay,FESTIVE
ORD_000131,CUST_00778,2025-12-31,App,Delivered,1228.18,0.0,1228.18,Wallet,FESTIVE
ORD_000132,CUST_00023,2025-12-20,App,Delivered,1609.28,263.62,1345.66,Wallet,
ORD_000133,CUST_00403,2025-12-15,Web,Delivered,1683.53,0.0,1683.53,COD,
ORD_000134,CUST_00303,2025-10-15,App,Delivered,851.3,95.44,755.87,COD,
ORD_000135,CUST_00922,2025-11-20,Web,In Transit,1057.42,0.0,1057.42,Wallet,
ORD_000136,CUST_00591,2025-11-24,App,Cancelled,1422.67,0.0,1422.67,Apple Pay,
ORD_000137,CUST_01610,2025-12-24,Web,Delivered,550.57,0.0,550.57,Wallet,
ORD_000138,CUST_01638,2025-10-25,App,Cancelled,1408.84,0.0,1408.84,Apple Pay,
ORD_000139,CUST_01013,2025-11-30,App,Delivered,446.98,0.0,446.98,Apple Pay,NEW10
ORD_000140,CUST_01447,2025-10-16,Web,Delivered,1173.98,0.0,1173.98,Card,FESTIVE
ORD_000141,CUST_01298,2025-12-07,App,Delivered,1577.91,0.0,1577.91,Wallet,
ORD_000142,CUST_00485,2025-12-27,Web,Cancelled,1587.32,0.0,1587.32,COD,
ORD_000143,CUST_01191,2025-10-20,App,Delivered,409.19,0.0,409.19,Apple Pay,
ORD_000144,CUST_00017,2025-11-02,App,In Transit,240.16,61.07,179.1,Card,
ORD_000145,CUST_00014,2025-12-22,App,Delivered,1009.58,114.0,895.58,Apple Pay,
ORD_000146,CUST_00202,2025-11-25,App,Delivered,542.1,40.1,502.0,Wallet,
ORD_000147,CUST_00373,2025-11-15,App,Cancelled,122.42,34.17,88.25,Card,SALE20
ORD_000148,CUST_00504,2025-11-16,App,Returned,1706.95,126.1,1580.85,COD,FESTIVE
ORD_000149,CUST_01657,2025-11-07,Web,Delivered,1078.07,58.01,1020.06,Wallet,
ORD_000150,CUST_00834,2025-11-11,App,Delivered,112.42,0.0,112.42,Card,
ORD_000151,CUST_00638,2025-10-27,App,Delivered,354.51,0.0,354.51,Card,
ORD_000152,CUST_01754,2025-10-27,Web,In Transit,611.62,77.33,534.29,Apple Pay,NEW10
ORD_000153,CUST_01261,2025-11-03,Web,Delivered,1328.63,0.0,1328.63,Card,SALE20
ORD_000154,CUST_00988,2025-10-08,App,Delivered,1371.33,175.04,1196.29,Apple Pay,NEW10
ORD_000155,CUST_00576,2025-12-01,Web,Returned,1518.2,0.0,1518.2,Wallet,
ORD_000156,CUST_00030,2025-10-22,Web,Delivered,1238.92,0.0,1238.92,Wallet,SALE20
ORD_000157,CUST_01216,2025-12-11,Web,Returned,1530.57,0.0,1530.57,Wallet,
ORD_000158,CUST_00509,2025-11-13,Web,Delivered,856.45,73.12,783.33,COD,
ORD_000159,CUST_01965,2026-01-02,App,Delivered,427.37,123.01,304.36,COD,
ORD_000160,CUST_01246,2025-10-31,Call Center,Delivered,976.91,0.0,976.91,Wallet,NEW10
ORD_000161,CUST_00550,2025-12-03,Call Center,Delivered,407.22,0.0,407.22,Card,
ORD_000162,CUST_00247,2025-11-18,Web,In Transit,60.25,0.0,60.25,COD,
ORD_000163,CUST_01161,2025-12-05,App,In Transit,1906.42,0.0,1906.42,Wallet,SALE20
ORD_000164,CUST_00950,2025-12-25,App,Cancelled,1434.31,0.0,1434.31,Wallet,
ORD_000165,CUST_00737,2025-12-30,Web,Delivered,1537.7,0.0,1537.7,Card,
ORD_000166,CUST_01643,2025-11-04,App,Delivered,1934.27,0.0,1934.27,Card,NEW10
ORD_000167,CUST_01708,2025-11-02,Web,Delivered,1010.25,0.0,1010.25,Apple Pay,
ORD_000168,CUST_00990,2026-01-02,App,Returned,69.06,9.74,59.32,Wallet,SALE20
ORD_000169,CUST_00682,2025-10-22,Web,Delivered,456.9,0.0,456.9,COD,FESTIVE
ORD_000170,CUST_00048,2025-12-28,Web,Delivered,1602.26,0.0,1602.26,Wallet,
ORD_000171,CUST_00113,2025-11-21,App,Delivered,1309.77,174.87,1134.9,Apple Pay,
ORD_000172,CUST_00546,2025-11-08,Web,Delivered,807.02,0.0,807.02,Card,NEW10
ORD_000173,CUST_01869,2025-11-15,App,Delivered,1093.62,89.67,1003.95,Wallet,
ORD_000174,CUST_00134,2025-10-26,Call Center,Delivered,423.49,105.9,317.59,Apple Pay,
ORD_000175,CUST_00738,2025-11-14,Web,Cancelled,660.78,0.0,660.78,Wallet,FESTIVE
ORD_000176,CUST_01390,2025-11-26,App,Delivered,1008.22,0.0,1008.22,Card,SALE20
ORD_000177,CUST_00504,2026-01-03,App,Delivered,736.92,0.0,736.92,COD,
ORD_000178,CUST_00240,2025-11-08,App,Delivered,1537.67,0.0,1537.67,COD,
ORD_000179,CUST_00529,2026-01-02,App,Delivered,1100.82,220.42,880.4,Apple Pay,SALE20
ORD_000180,CUST_01704,2025-11-22,Web,In Transit,254.17,41.89,212.28,Wallet,FESTIVE
ORD_000181,CUST_01601,2025-12-23,Web,Delivered,1719.65,123.68,1595.96,Wallet,
ORD_000182,CUST_01725,2025-10-20,Call Center,Delivered,1672.65,0.0,1672.65,Apple Pay,SALE20
ORD_000183,CUST_01048,2025-12-18,Web,Cancelled,490.81,0.0,490.81,COD,
ORD_000184,CUST_00285,2025-11-28,Web,Delivered,1570.62,227.45,1343.17,Apple Pay,
ORD_000185,CUST_01386,2025-11-14,App,Delivered,1703.38,0.0,1703.38,Wallet,
ORD_000186,CUST_00481,2025-12-19,Web,Delivered,305.72,0.0,305.72,Card,
ORD_000187,CUST_01449,2025-12-05,App,Delivered,1006.89,0.0,1006.89,Card,NEW10
ORD_000188,CUST_00306,2025-12-13,App,Cancelled,786.05,0.0,786.05,Apple Pay,NEW10
ORD_000189,CUST_01179,2025-12-30,App,Delivered,335.25,0.0,335.25,Wallet,NEW10
ORD_000190,CUST_01302,2025-10-29,App,Delivered,646.38,0.0,646.38,Apple Pay,NEW10
ORD_000191,CUST_01781,2025-10-16,Web,Delivered,938.5,0.0,938.5,Wallet,FESTIVE
ORD_000192,CUST_01243,2025-10-10,Web,Delivered,1812.48,237.64,1574.84,Wallet,
ORD_000193,CUST_00407,2025-10-18,Web,In Transit,789.96,0.0,789.96,Card,FESTIVE
ORD_000194,CUST_01641,2025-10-10,App,Delivered,1115.93,0.0,1115.93,Apple Pay,
ORD_000195,CUST_01984,2025-12-11,Web,Delivered,1541.98,202.77,1339.21,Card,
ORD_000196,CUST_01778,2025-10-24,App,Delivered,898.87,102.25,796.63,Wallet,
ORD_000197,CUST_00118,2025-11-29,App,Delivered,156.57,0.0,156.57,COD,SALE20
ORD_000198,CUST_01424,2025-12-20,App,Cancelled,724.18,153.33,570.85,Wallet,
ORD_000199,CUST_01915,2025-10-28,App,Delivered,193.28,0.0,193.28,Wallet,
ORD_000200,CUST_00078,2025-11-11,App,Delivered,1315.94,253.93,1062.01,Apple Pay,
ORD_000201,CUST_00391,2025-12-18,Web,Delivered,160.93,46.34,114.59,Apple Pay,NEW10
ORD_000202,CUST_01914,2025-12-27,Web,Delivered,213.58,0.0,213.58,Card,
ORD_000203,CUST_00483,2025-11-12,Web,Delivered,1820.28,121.13,1699.15,COD,NEW10
ORD_000204,CUST_01204,2025-11-27,Web,Delivered,1396.29,0.0,1396.29,COD,
ORD_000205,CUST_01681,2025-11-12,App,Delivered,1499.88,0.0,1499.88,Wallet,NEW10
ORD_000206,CUST_00912,2025-11-02,Call Center,Delivered,1228.14,0.0,1228.14,Card,
ORD_000207,CUST_01099,2025-10-13,App,Delivered,1249.61,273.96,975.65,COD,
ORD_000208,CUST_01652,2025-12-22,App,Delivered,1269.89,0.0,1269.89,Apple Pay,
ORD_000209,CUST_01893,2025-12-11,Web,Delivered,1806.82,341.35,1465.47,Apple Pay,
ORD_000210,CUST_01770,2025-12-19,App,Delivered,343.58,0.0,343.58,COD,
ORD_000211,CUST_00275,2025-10-14,Web,Delivered,456.43,59.49,396.94,Card,
ORD_000212,CUST_01233,2025-11-25,Call Center,Delivered,1087.98,269.14,818.84,Wallet,
ORD_000213,CUST_00517,2026-01-04,Call Center,Delivered,578.8,74.42,504.39,Card,SALE20
ORD_000214,CUST_01128,2026-01-03,Web,Delivered,948.94,120.56,828.38,Card,
ORD_000215,CUST_01925,2025-12-21,App,In Transit,582.67,0.0,582.67,COD,
ORD_000216,CUST_01186,2025-10-16,App,Delivered,67.57,7.27,60.31,COD,
ORD_000217,CUST_00401,2025-10-08,Web,Delivered,1731.91,0.0,1731.91,Wallet,SALE20
ORD_000218,CUST_01037,2025-10-09,App,Delivered,1608.72,154.1,1454.62,Apple Pay,
ORD_000219,CUST_00070,2025-11-02,App,Delivered,1249.18,0.0,1249.18,COD,FESTIVE
ORD_000220,CUST_00046,2025-12-24,App,Delivered,74.31,0.0,74.31,Wallet,
ORD_000221,CUST_01930,2025-12-21,Call Center,Delivered,508.38,74.68,433.7,COD,NEW10
ORD_000222,CUST_00315,2025-12-02,App,Delivered,956.31,95.18,861.12,Apple Pay,
ORD_000223,CUST_00385,2025-12-02,Web,Delivered,246.85,0.0,246.85,COD,
ORD_000224,CUST_01939,2025-12-10,Web,Delivered,830.32,0.0,830.32,Wallet,
ORD_000225,CUST_00403,2025-10-24,Web,Delivered,1846.21,0.0,1846.21,Apple Pay,
ORD_000226,CUST_00193,2026-01-02,App,Delivered,1609.28,425.53,1183.75,COD,
ORD_000227,CUST_01911,2025-10-11,Call Center,Delivered,252.34,0.0,252.34,Apple Pay,
ORD_000228,CUST_01957,2026-01-04,App,Delivered,250.08,0.0,250.08,COD,SALE20
ORD_000229,CUST_01574,2025-10-29,App,Cancelled,659.77,83.83,575.94,Apple Pay,
ORD_000230,CUST_00863,2025-10-16,Web,Delivered,426.19,0.0,426.19,Card,
ORD_000231,CUST_01177,2025-12-03,App,Delivered,1885.23,0.0,1885.23,Card,FESTIVE
ORD_000232,CUST_01869,2025-10-20,Web,Delivered,1802.82,0.0,1802.82,COD,SALE20
ORD_000233,CUST_00358,2025-11-01,App,Delivered,1758.51,520.9,1237.61,COD,
ORD_000234,CUST_00866,2025-12-06,App,Delivered,760.03,0.0,760.03,Card,SALE20
ORD_000235,CUST_00504,2025-10-28,App,Delivered,172.1,0.0,172.1,COD,FESTIVE
ORD_000236,CUST_00125,2025-12-09,App,Returned,1639.67,0.0,1639.67,Wallet,
ORD_000237,CUST_00289,2026-01-02,Web,Delivered,579.64,170.29,409.35,Wallet,
ORD_000238,CUST_01258,2025-11-03,Web,Returned,438.2,0.0,438.2,Wallet,
ORD_000239,CUST_01672,2025-11-29,App,Delivered,210.19,0.0,210.19,COD,FESTIVE
ORD_000240,CUST_00212,2025-10-26,Web,Delivered,253.79,0.0,253.79,COD,
ORD_000241,CUST_01666,2025-11-17,Web,Delivered,624.05,44.52,579.54,Card,NEW10
ORD_000242,CUST_00881,2025-10-17,App,Delivered,1081.02,0.0,1081.02,COD,SALE20
ORD_000243,CUST_00312,2026-01-01,Web,Cancelled,174.98,0.0,174.98,Wallet,FESTIVE
ORD_000244,CUST_00002,2025-12-14,Web,Delivered,948.79,53.88,894.91,COD,
ORD_000245,CUST_01203,2025-12-23,App,Delivered,1679.22,0.0,1679.22,Wallet,
ORD_000246,CUST_01070,2025-12-03,App,Returned,481.21,58.08,423.14,Apple Pay,SALE20
ORD_000247,CUST_01826,2026-01-02,Web,Delivered,1394.79,0.0,1394.79,COD,NEW10
ORD_000248,CUST_00599,2025-12-12,App,Cancelled,392.83,0.0,392.83,Card,
ORD_000249,CUST_01646,2025-12-15,App,Delivered,1659.14,0.0,1659.14,Apple Pay,NEW10
ORD_000250,CUST_00463,2025-11-23,Web,Delivered,1683.85,344.36,1339.49,Wallet,
ORD_000251,CUST_01595,2025-10-27,App,Delivered,1289.45,139.92,1149.53,Wallet,SALE20
ORD_000252,CUST_00779,2025-12-05,Web,Delivered,1852.21,365.37,1486.84,COD,
ORD_000253,CUST_00070,2025-10-21,App,Delivered,943.06,112.87,830.18,Apple Pay,FESTIVE
ORD_000254,CUST_01018,2025-10-24,Web,Delivered,228.03,0.0,228.03,COD,
ORD_000255,CUST_01520,2025-11-03,App,Returned,556.85,0.0,556.85,Card,
ORD_000256,CUST_00845,2025-11-05,App,Returned,994.86,170.25,824.61,Card,FESTIVE
ORD_000257,CUST_00131,2025-11-14,Web,Returned,1662.93,0.0,1662.93,Wallet,SALE20
ORD_000258,CUST_01892,2025-10-19,App,Delivered,292.64,0.0,292.64,COD,FESTIVE
ORD_000259,CUST_01229,2025-11-28,Call Center,Delivered,828.14,0.0,828.14,Apple Pay,SALE20
ORD_000260,CUST_01563,2025-11-28,Call Center,Delivered,1165.8,0.0,1165.8,COD,
ORD_000261,CUST_00764,2025-12-16,App,Delivered,1874.04,0.0,1874.04,Wallet,
ORD_000262,CUST_00030,2025-12-12,Web,Delivered,1984.12,0.0,1984.12,Card,
ORD_000263,CUST_01241,2025-12-03,Web,Delivered,1860.5,0.0,1860.5,Apple Pay,SALE20
ORD_000264,CUST_00888,2026-01-04,App,Delivered,1919.64,0.0,1919.64,Wallet,
ORD_000265,CUST_01133,2025-11-16,Web,Delivered,1973.4,483.45,1489.95,COD,
ORD_000266,CUST_01371,2025-12-25,Web,Delivered,853.01,249.49,603.53,Apple Pay,
ORD_000267,CUST_01893,2025-12-23,App,Delivered,1128.23,0.0,1128.23,Card,NEW10
ORD_000268,CUST_01631,2025-12-31,App,Delivered,1964.49,436.31,1528.18,COD,SALE20
ORD_000269,CUST_01206,2025-11-29,App,Delivered,1627.62,0.0,1627.62,Card,
ORD_000270,CUST_00705,2025-10-08,Web,Delivered,209.39,0.0,209.39,COD,
ORD_000271,CUST_01057,2025-10-18,Web,Cancelled,104.69,0.0,104.69,Apple Pay,
ORD_000272,CUST_01604,2025-12-21,App,Delivered,886.05,0.0,886.05,COD,SALE20
ORD_000273,CUST_01514,2025-11-05,Web,Delivered,1082.03,0.0,1082.03,COD,FESTIVE
ORD_000274,CUST_01551,2025-10-11,Call Center,Delivered,1649.76,0.0,1649.76,Wallet,SALE20
ORD_000275,CUST_01271,2025-12-11,App,Delivered,382.93,0.0,382.93,COD,
ORD_000276,CUST_00313,2025-12-18,App,Cancelled,111.68,24.02,87.67,COD,
ORD_000277,CUST_01105,2025-10-30,App,In Transit,1864.15,0.0,1864.15,Apple Pay,SALE20
ORD_000278,CUST_00266,2025-12-18,Web,In Transit,1379.98,0.0,1379.98,COD,SALE20
ORD_000279,CUST_00387,2025-10-16,Web,Delivered,538.9,54.37,484.53,Wallet,NEW10
ORD_000280,CUST_01995,2025-11-08,App,Cancelled,375.52,0.0,375.52,COD,
ORD_000281,CUST_00452,2025-12-22,Web,Delivered,1222.16,258.76,963.4,COD,
ORD_000282,CUST_00129,2025-10-31,Call Center,Cancelled,222.63,0.0,222.63,Card,
ORD_000283,CUST_00960,2025-12-21,Web,Delivered,224.48,0.0,224.48,COD,
